Variável,Mean(ts),Std(ts),f_0(ts)
7471,0.8947499999999999,0.04773559992290869,0.7992788001541825
7472,0.8817500000000001,0.05336841294248874,0.7750131741150227
7473,0.8867499999999999,0.0535554619063266,0.7796390761873467
7474,0.888,0.056289430624229975,0.7754211387515401
7475,0.8902500000000001,0.04961035678162373,0.7910292864367526
7476,0.87825,0.0582725278325902,0.7617049443348196
7477,0.8917499999999998,0.0496305097696971,0.7924889804606057
7478,0.8942499999999999,0.04634854366644113,0.8015529126671176
7479,0.8919999999999999,0.047549973711874964,0.79690005257625
7480,0.88375,0.055494932201057785,0.7727601355978845
7481,0.88725,0.050186527076497345,0.7868769458470053
7482,0.8815,0.055970974620780004,0.76955805075844
7483,0.8919999999999999,0.047549973711874964,0.79690005257625
7484,0.88725,0.04602920268698992,0.7951915946260202
7485,0.87175,0.056530412169026316,0.7586891756619474
7486,0.8779999999999998,0.045727453460694706,0.7865450930786104
7487,0.8897499999999999,0.04459470260019681,0.8005605947996063
7488,0.8902500000000001,0.048204641892664234,0.7938407162146717
7489,0.87925,0.04757297026673865,0.7841040594665227
7490,0.88925,0.05223205433447931,0.7847858913310414
7491,0.889,0.04614108798023732,0.7967178240395254
7492,0.8849999999999999,0.05667892024377316,0.7716421595124536
7493,0.8902500000000001,0.05060817621689207,0.789033647566216
7494,0.8922500000000001,0.049332418347370725,0.7935851633052586
7495,0.8815,0.057404268133998536,0.7666914637320029
7496,0.889,0.04851803788283282,0.7919639242343344
7497,0.8827500000000001,0.04843745967740257,0.7858750806451951
7498,0.8965000000000001,0.05338773267333986,0.7897245346533204
7499,0.8867500000000003,0.05005684268908698,0.7866363146218263
7500,0.8877499999999999,0.05105083251035188,0.7856483349792962
7501,0.8865,0.044500000000000005,0.7975
7502,0.8810000000000001,0.05524038377853651,0.7705192324429271
7503,0.88625,0.05140221298738022,0.7834455740252395
7504,0.8799999999999999,0.051720402163943004,0.7765591956721138
7505,0.8777500000000003,0.04872050389722997,0.7803089922055403
7506,0.88125,0.055494932201057785,0.7702601355978844
7507,0.8895000000000002,0.05281808402431879,0.7838638319513626
7508,0.8909999999999999,0.048672374094551836,0.7936552518108962
7509,0.89425,0.04607805876987441,0.8020938824602512
7510,0.8892500000000001,0.050529075788104415,0.7881918484237913
7511,0.88775,0.050434982898777715,0.7868800342024446
7512,0.8842500000000002,0.0514362469470703,0.7813775061058597
7513,0.889,0.04377784827969507,0.8014443034406099
7514,0.8859999999999999,0.052239831546435904,0.7815203369071281
7515,0.8774999999999998,0.05344389581607988,0.7706122083678401
7516,0.8837499999999998,0.05272274177240784,0.7783045164551842
7517,0.88775,0.05460025183092107,0.7785494963381578
7518,0.8882499999999999,0.05249464258379135,0.7832607148324172
7519,0.8864999999999997,0.04628984769903656,0.7939203046019266
7520,0.88575,0.05329810034138177,0.7791537993172365
7521,0.879,0.05346961754117942,0.7720607649176412
7522,0.88775,0.045207162043198426,0.7973356759136032
7523,0.884,0.05018964036531842,0.7836207192693632
7524,0.8847499999999999,0.053606785951034214,0.7775364280979316
7525,0.8817499999999999,0.0521841690553754,0.7773816618892491
7526,0.8947499999999999,0.048643473354603284,0.7974630532907934
7527,0.8865000000000001,0.05272807601268986,0.7810438479746203
7528,0.8832500000000002,0.05038042774729091,0.7824891445054184
7529,0.8797499999999998,0.05675550634079481,0.7662389873184102
7530,0.8919999999999999,0.05182663407939976,0.7883467318412004
7531,0.895,0.04860555523805895,0.7977888895238822
7532,0.8915000000000002,0.04680010683748489,0.7978997863250304
7533,0.882,0.05173006862551025,0.7785398627489795
7534,0.877,0.05228288438867924,0.7724342312226415
7535,0.87875,0.057486411437834596,0.7637771771243308
7536,0.889,0.051638164181155785,0.7857236716376884
7537,0.87975,0.053816238255753254,0.7721175234884935
7538,0.8747500000000001,0.054024878528322495,0.7667002429433551
7539,0.88925,0.05282695808013178,0.7835960838397364
7540,0.8875000000000003,0.038810436740650066,0.8098791265187002
7541,0.8909999999999999,0.046706530592626985,0.797586938814746
7542,0.8897499999999998,0.05489706276295663,0.7799558744740865
7543,0.88475,0.05230857960220293,0.7801328407955942
7544,0.892,0.04781213235152768,0.7963757352969446
7545,0.88825,0.05378835840588557,0.7806732831882288
7546,0.8892500000000001,0.04889465717233326,0.7914606856553336
7547,0.8915,0.05317659259486263,0.7851468148102747
7548,0.8845000000000001,0.04870574914730293,0.7870885017053942
7549,0.88375,0.045876873258756425,0.7919962534824871
7550,0.884,0.04603259714593562,0.7919348057081288
7551,0.8865000000000001,0.053900371056236705,0.7786992578875267
7552,0.8862500000000003,0.051523659613812375,0.7832026807723755
7553,0.88725,0.05249940475853036,0.7822511904829392
7554,0.8785000000000001,0.05268064160581191,0.7731387167883762
